SourceID,RAdeg,DEdeg,HJD,mag,e_mag,flag,band
1,0.0005663,62.1016311,58337.39032,18.015,0.032,0,g
1,0.0005663,62.1016311,58315.42616,18.000,0.032,0,g
1,0.0005663,62.1016311,58314.46520,18.032,0.032,0,g
1,0.0005663,62.1016311,58313.44824,17.964,0.031,0,g
1,0.0005663,62.1016311,58425.18264,18.016,0.032,0,g
1,0.0005663,62.1016311,58457.11935,18.011,0.032,0,g
1,0.0005663,62.1016311,58437.24235,17.959,0.031,0,g
1,0.0005663,62.1016311,58342.41198,17.974,0.031,0,g
1,0.0005663,62.1016311,58434.15790,17.996,0.031,0,g
1,0.0005663,62.1016311,58429.22896,18.016,0.032,0,g
1,0.0005663,62.1016311,58430.26296,17.979,0.031,0,g
1,0.0005663,62.1016311,58639.44385,17.934,0.031,0,g
1,0.0005663,62.1016311,58426.21722,17.984,0.031,0,g
1,0.0005663,62.1016311,58424.19028,17.916,0.030,0,g
1,0.0005663,62.1016311,58435.22215,18.035,0.032,0,g
1,0.0005663,62.1016311,58323.45428,17.987,0.031,0,g
1,0.0005663,62.1016311,58321.43267,17.953,0.031,0,g
1,0.0005663,62.1016311,58302.44990,18.020,0.032,0,g
1,0.0005663,62.1016311,58334.32022,17.911,0.030,0,g
1,0.0005663,62.1016311,58336.32589,17.893,0.030,0,g
1,0.0005663,62.1016311,58469.15940,17.960,0.031,0,g
1,0.0005663,62.1016311,58330.47301,17.943,0.031,0,g
1,0.0005663,62.1016311,58325.42663,17.979,0.031,0,g
1,0.0005663,62.1016311,58303.44288,18.031,0.032,0,g
1,0.0005663,62.1016311,58305.45469,17.981,0.031,0,g
1,0.0005663,62.1016311,58329.47933,17.988,0.031,0,g
1,0.0005663,62.1016311,58320.45757,18.035,0.032,0,g
1,0.0005663,62.1016311,58319.40608,17.925,0.030,0,g
1,0.0005663,62.1016311,58312.46519,18.053,0.032,0,g
1,0.0005663,62.1016311,58307.44939,17.949,0.031,0,g
1,0.0005663,62.1016311,58322.44632,18.012,0.032,0,g
1,0.0005663,62.1016311,58301.46966,17.980,0.031,0,g
1,0.0005663,62.1016311,58318.42529,17.981,0.031,0,g
1,0.0005663,62.1016311,58304.44425,18.065,0.032,0,g
1,0.0005663,62.1016311,58277.44632,18.134,0.034,0,g
1,0.0005663,62.1016311,58363.31047,17.916,0.030,0,g
1,0.0005663,62.1016311,58278.43350,18.008,0.032,0,g
1,0.0005663,62.1016311,58247.48409,17.981,0.031,0,g
1,0.0005663,62.1016311,58252.46347,18.075,0.033,0,g
1,0.0005663,62.1016311,58385.36646,17.950,0.031,0,g
1,0.0005663,62.1016311,58372.28525,18.029,0.032,0,g
1,0.0005663,62.1016311,58382.40661,18.121,0.033,0,g
1,0.0005663,62.1016311,58384.46796,18.123,0.033,0,g
1,0.0005663,62.1016311,58388.36510,18.126,0.033,0,g
1,0.0005663,62.1016311,58374.28519,18.019,0.032,0,g
1,0.0005663,62.1016311,58383.43027,17.980,0.031,0,g
1,0.0005663,62.1016311,58379.34673,17.968,0.031,0,g
1,0.0005663,62.1016311,58380.37167,18.130,0.034,0,g
1,0.0005663,62.1016311,58371.34737,17.954,0.031,0,g
1,0.0005663,62.1016311,58389.35090,17.998,0.031,0,g
1,0.0005663,62.1016311,58377.34978,17.963,0.031,0,g
1,0.0005663,62.1016311,58375.30494,17.937,0.031,0,g
1,0.0005663,62.1016311,58373.37448,17.952,0.031,0,g
1,0.0005663,62.1016311,58387.25769,17.922,0.030,0,g
1,0.0005663,62.1016311,58378.32852,18.027,0.032,0,g
1,0.0005663,62.1016311,58386.49251,18.071,0.033,0,g
1,0.0005663,62.1016311,58376.30643,18.065,0.032,0,g
1,0.0005663,62.1016311,58258.48487,18.007,0.032,0,g
1,0.0005663,62.1016311,58276.40519,18.020,0.032,0,g
1,0.0005663,62.1016311,58246.48263,18.055,0.032,0,g
1,0.0005663,62.1016311,58365.30277,17.970,0.031,0,g
1,0.0005663,62.1016311,58360.41123,18.013,0.032,0,g
1,0.0005663,62.1016311,58348.36375,17.892,0.030,0,g
1,0.0005663,62.1016311,58368.37197,18.023,0.032,0,g
1,0.0005663,62.1016311,58366.41072,18.008,0.032,0,g
1,0.0005663,62.1016311,58349.38735,17.921,0.030,0,g
1,0.0005663,62.1016311,58364.26327,17.911,0.030,0,g
1,0.0005663,62.1016311,58370.36191,18.065,0.032,0,g
1,0.0005663,62.1016311,58232.49987,18.078,0.033,0,g
1,0.0005663,62.1016311,58369.31955,17.968,0.031,0,g
1,0.0005663,62.1016311,58362.26293,17.956,0.031,0,g
1,0.0005663,62.1016311,58352.39054,17.947,0.031,0,g
1,0.0005663,62.1016311,58367.31450,17.958,0.031,0,g
1,0.0005663,62.1016311,58431.22880,18.002,0.032,0,g
1,0.0005663,62.1016311,58428.18608,17.962,0.031,0,g
1,0.0005663,62.1016311,58494.14296,17.934,0.031,0,g
1,0.0005663,62.1016311,58436.23723,17.984,0.031,0,g
1,0.0005663,62.1016311,58510.15600,17.953,0.031,0,g
1,0.0005663,62.1016311,58511.13792,17.948,0.031,0,g
1,0.0005663,62.1016311,58255.42823,18.036,0.032,0,g
1,0.0005663,62.1016311,58350.43294,17.972,0.031,0,g
1,0.0005663,62.1016311,58361.38878,17.987,0.031,0,g
1,0.0005663,62.1016311,58326.46475,18.009,0.032,0,g
1,0.0005663,62.1016311,58286.45439,18.024,0.032,0,g
1,0.0005663,62.1016311,58282.42581,18.009,0.032,0,g
1,0.0005663,62.1016311,58644.45127,17.982,0.031,0,g
1,0.0005663,62.1016311,58642.42155,17.992,0.031,0,g
1,0.0005663,62.1016311,58653.38663,18.028,0.032,0,g
1,0.0005663,62.1016311,58650.47293,17.958,0.031,0,g
1,0.0005663,62.1016311,58507.19925,18.026,0.032,0,g
1,0.0005663,62.1016311,58505.17845,18.110,0.033,0,g
1,0.0005663,62.1016311,58523.12479,17.904,0.030,0,g
1,0.0005663,62.1016311,58509.17842,18.000,0.032,0,g
1,0.0005663,62.1016311,58471.10667,17.988,0.031,0,g
1,0.0005663,62.1016311,58503.19861,18.031,0.032,0,g
1,0.0005663,62.1016311,58487.16168,18.060,0.032,0,g
1,0.0005663,62.1016311,58482.14036,17.961,0.031,0,g
1,0.0005663,62.1016311,58493.17780,18.038,0.032,0,g
1,0.0005663,62.1016311,58491.15524,18.049,0.032,0,g
1,0.0005663,62.1016311,58607.47597,17.954,0.031,0,g
1,0.0005663,62.1016311,58472.15924,17.952,0.031,0,g
1,0.0005663,62.1016311,58400.28022,17.981,0.031,0,g
1,0.0005663,62.1016311,58397.35443,18.020,0.032,0,g
1,0.0005663,62.1016311,58483.11448,18.048,0.032,0,g
1,0.0005663,62.1016311,58486.15830,17.926,0.030,0,g
1,0.0005663,62.1016311,58638.44776,17.975,0.031,0,g
1,0.0005663,62.1016311,58640.45395,17.965,0.031,0,g
1,0.0005663,62.1016311,58652.46500,17.970,0.031,0,g
1,0.0005663,62.1016311,58646.45244,17.941,0.031,0,g
1,0.0005663,62.1016311,58641.45063,17.964,0.031,0,g
1,0.0005663,62.1016311,58645.45230,17.964,0.031,0,g
1,0.0005663,62.1016311,58643.45157,17.947,0.031,0,g
1,0.0005663,62.1016311,58441.25195,17.896,0.030,0,g
1,0.0005663,62.1016311,58647.35515,17.943,0.031,0,g
1,0.0005663,62.1016311,58657.47232,17.978,0.031,0,g
1,0.0005663,62.1016311,58648.44747,17.963,0.031,0,g
1,0.0005663,62.1016311,58649.38282,17.855,0.030,0,g
1,0.0005663,62.1016311,58663.46457,18.008,0.032,0,g
1,0.0005663,62.1016311,58298.46994,18.038,0.032,0,g
1,0.0005663,62.1016311,58297.46936,17.985,0.031,0,g
1,0.0005663,62.1016311,58289.42146,18.084,0.033,0,g
1,0.0005663,62.1016311,58285.44893,18.054,0.032,0,g
1,0.0005663,62.1016311,58290.45154,18.011,0.032,0,g
1,0.0005663,62.1016311,58280.42439,17.956,0.031,0,g
1,0.0005663,62.1016311,58287.43055,18.055,0.032,0,g
1,0.0005663,62.1016311,58293.45169,18.019,0.032,0,g
1,0.0005663,62.1016311,58292.45363,18.028,0.032,0,g
1,0.0005663,62.1016311,58294.45637,18.046,0.032,0,g
1,0.0005663,62.1016311,58291.45278,18.024,0.032,0,g
1,0.0005663,62.1016311,58283.42468,18.040,0.032,0,g
1,0.0005663,62.1016311,58279.45346,18.045,0.032,0,g
1,0.0005625,62.1016189,58280.46973,16.562,0.019,0,r
1,0.0005625,62.1016189,58286.47228,16.579,0.019,0,r
1,0.0005625,62.1016189,58348.40959,16.541,0.019,0,r
1,0.0005625,62.1016189,58283.38437,16.608,0.019,0,r
1,0.0005625,62.1016189,58289.45301,16.579,0.019,0,r
1,0.0005625,62.1016189,58285.40338,16.604,0.019,0,r
1,0.0005625,62.1016189,58287.47171,16.595,0.019,0,r
1,0.0005625,62.1016189,58342.34729,16.516,0.019,0,r
1,0.0005625,62.1016189,58327.40360,16.601,0.019,0,r
1,0.0005625,62.1016189,58325.47427,16.575,0.019,0,r
1,0.0005625,62.1016189,58328.40264,16.543,0.019,0,r
1,0.0005625,62.1016189,58326.41143,16.567,0.019,0,r
1,0.0005625,62.1016189,58335.35637,16.589,0.019,0,r
1,0.0005625,62.1016189,58337.34328,16.575,0.019,0,r
1,0.0005625,62.1016189,58345.36118,16.601,0.019,0,r
1,0.0005625,62.1016189,58278.47036,16.559,0.019,0,r
1,0.0005625,62.1016189,58279.42649,16.642,0.020,0,r
1,0.0005625,62.1016189,58254.48456,16.565,0.019,0,r
1,0.0005625,62.1016189,58284.47050,16.608,0.019,0,r
1,0.0005625,62.1016189,58650.42889,16.528,0.019,0,r
1,0.0005625,62.1016189,58508.21909,16.539,0.019,0,r
1,0.0005625,62.1016189,58277.42782,16.629,0.019,0,r
1,0.0005625,62.1016189,58523.15736,16.519,0.019,0,r
1,0.0005625,62.1016189,58652.44535,16.532,0.019,0,r
1,0.0005625,62.1016189,58657.42665,16.551,0.019,0,r
1,0.0005625,62.1016189,58336.35638,16.553,0.019,0,r
1,0.0005625,62.1016189,58654.44797,16.542,0.019,0,r
1,0.0005625,62.1016189,58276.46474,16.537,0.019,0,r
1,0.0005625,62.1016189,58474.15253,16.532,0.019,0,r
1,0.0005625,62.1016189,58426.26383,16.568,0.019,0,r
1,0.0005625,62.1016189,58428.24361,16.575,0.019,0,r
1,0.0005625,62.1016189,58390.24604,16.632,0.019,0,r
1,0.0005625,62.1016189,58432.26475,16.531,0.019,0,r
1,0.0005625,62.1016189,58475.30498,16.572,0.019,0,r
1,0.0005625,62.1016189,58441.28486,16.506,0.019,0,r
1,0.0005625,62.1016189,58304.40171,16.604,0.019,0,r
1,0.0005625,62.1016189,58297.43209,16.566,0.019,0,r
1,0.0005625,62.1016189,58312.42544,16.605,0.019,0,r
1,0.0005625,62.1016189,58437.30853,16.536,0.019,0,r
1,0.0005625,62.1016189,58294.47219,16.598,0.019,0,r
1,0.0005625,62.1016189,58301.44774,16.520,0.019,0,r
1,0.0005625,62.1016189,58320.38522,16.619,0.019,0,r
1,0.0005625,62.1016189,58434.20719,16.579,0.019,0,r
1,0.0005625,62.1016189,58321.46990,16.576,0.019,0,r
1,0.0005625,62.1016189,58305.42601,16.553,0.019,0,r
1,0.0005625,62.1016189,58319.45250,16.570,0.019,0,r
1,0.0005625,62.1016189,58322.40687,16.611,0.019,0,r
1,0.0005625,62.1016189,58307.40730,16.543,0.019,0,r
1,0.0005625,62.1016189,58323.47837,16.567,0.019,0,r
1,0.0005625,62.1016189,58303.47566,16.544,0.019,0,r
1,0.0005625,62.1016189,58291.46818,16.595,0.019,0,r
